OBJECTID,Australia_test2_CNTRY_NAME,Australia_test2_ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
10,Christmas Island,10,586,0.010173611,0,10.11896801,10.11896801,0.252360842,0.958265481,147.8834537
4,Cocos (Keeling) Islands,4,86,0.001493056,0,0.528570175,0.528570175,0.03537206,0.10041823,3.04199712
10,Colombia,10,4681723,81.27991449,0,1821.4823,1821.4823,0.192011757,3.398869192,898945.8609
7,Colombia,7,650554,11.29434046,0,15.50056839,15.50056839,0.000465981,0.050556175,303.1458082
11,Comoros,11,8205,0.142447919,0,4.975628853,4.975628853,0.024063981,0.196451498,197.4449621
17,Congo,17,660154,11.46100713,0,19.3025856,19.3025856,0.00060906,0.053203785,402.0731046
9,Congo,9,951148,16.51298638,0,978.7077026,978.7077026,0.0571585,1.991561683,54366.19257
8,Cook Islands,8,750,0.013020834,0,2.985053539,2.985053539,0.099786526,0.309462762,74.83989482
11,Costa Rica,11,242476,4.209652845,0,121.5071945,121.5071945,0.556474989,3.171463231,134931.8295
48,Croatia,48,367747,6.38449663,0,161.7654114,161.7654114,0.918739598,4.70284894,337863.7311
12,Cuba,12,548685,9.525781402,0,509.8024902,509.8024902,0.331970442,2.301426519,182147.2022
22,Cyprus,22,51988,0.902569459,0,118.2245941,118.2245941,2.033804653,5.743613932,105733.4363
31,Czech Republic,31,565879,9.824288352,0,147.180481,147.180481,0.987880198,4.332857315,559020.6585
23,Denmark,23,353869,6.143559126,0,1720.084473,1720.084473,0.606950141,7.729457845,214780.8395
24,Djibouti,24,102409,1.777934056,0,56.17789078,56.17789078,0.042206263,0.781691957,4322.301144
13,Dominica,13,3705,0.064322918,0,15.59438896,15.59438896,0.233166706,0.780348801,863.8826445
14,Dominican Republic,14,238917,4.14786465,0,107.8617325,107.8617325,0.737220273,3.958672044,176134.4559
15,Ecuador,15,182372,3.166180606,0,734.0859985,734.0859985,0.321763661,4.576434583,58680.68232
10,Ecuador,10,1013053,17.58772598,0,2234.958252,2234.958252,0.445569533,6.023043841,451385.5519
25,Egypt,25,5212057,90.48710214,0,6428.486328,6428.486328,0.582453195,5.515977998,3035779.252
16,El Salvador,16,99024,1.719166694,0,49.51720047,49.51720047,0.504950431,2.359945685,50002.2115
27,Equatorial Guinea,27,126133,2.189809063,0,48.876297,48.876297,0.131790988,1.482922396,16623.19274
29,Eritrea,29,586314,10.17906266,0,43.0758667,43.0758667,0.004452742,0.188762136,2610.705123
28,Estonia,28,409423,7.108038308,0,2853.316162,2853.316162,0.399716803,8.986834579,163653.2526
30,Ethiopia,30,5340768,92.72166815,-0.017238475,288.1505737,288.1678122,0.01161121,0.45224808,62012.77927
12,Falkland Islands (Islas Malvinas),12,22544,0.391388895,0,2.953503609,2.953503609,0.0009919,0.039837666,22.3613885
12,Falkland Islands (Islas Malvinas),12,63604,1.104236129,0,18.61681366,18.61681366,0.012186887,0.279385397,775.1347548
34,Faroe Islands,34,14653,0.254392365,0,42.33010864,42.33010864,0.295714647,1.675114277,4333.106722
10,Federated States of Micronesia,10,2433,0.042239584,0,8.161168098,8.161168098,0.087008555,0.427010337,211.6918132
5,Fiji,5,86741,1.505920163,-0.095999688,31.79359245,31.88959214,0.034046091,0.404795341,2953.192018
11,Fiji,11,1617,0.028072917,-0.033923641,0.44394514,0.47786878,0.00254266,0.024959104,4.111481531
33,Finland,33,3608945,62.65529614,0,4612.581543,4612.581543,0.555117108,10.52354601,2003387.112
35,France,35,3706430,64.34774409,0,4186.701172,4186.701172,1.264829881,7.391513155,4688003.415
32,French Guiana,32,392121,6.807656359,0,55.25261688,55.25261688,0.022992758,0.627754848,9015.943288
13,French Polynesia,13,10091,0.175190975,0,46.06561279,46.06561279,0.32179604,1.815235694,3247.243845
6,French Southern & Antarctic Lands,6,51252,0.889791681,0,0,0,0,0,0
13,French Southern & Antarctic Lands,13,1886,0.032743056,0,0,0,0,0,0
37,Gabon,37,428019,7.430885536,0,19.48261833,19.48261833,0.014037829,0.344463418,6008.457662
14,Gabon,14,792208,13.75361133,0,1084.307007,1084.307007,0.061420874,3.543553184,48658.10752
36,"Gambia, The",36,51544,0.894861125,0,19.70739746,19.70739746,0.07123859,0.640239174,3671.921891
47,Gaza Strip,47,2026,0.035173612,0,78.85588074,78.85588074,7.254159476,7.260098342,14696.9271
38,Georgia,38,439120,7.623611233,0,201.7849426,201.7849426,0.280830853,2.540122788,123318.444
43,Germany,43,2642206,45.87163268,0,1319.449707,1319.449707,0.959642659,4.23299813,2535573.591
39,Ghana,39,1129705,19.61293434,0,140.342453,140.342453,0.133589446,1.133800897,150916.6656
